title,date,notes,bunting
New Year’s Day,2016-01-01,,True
Good Friday,2016-03-25,,False
Easter Monday,2016-03-28,,True
Early May bank holiday,2016-05-02,,True
Spring bank holiday,2016-05-30,,True
Summer bank holiday,2016-08-29,,True
Boxing Day,2016-12-26,,True
Christmas Day,2016-12-27,Substitute day,True
New Year’s Day,2017-01-02,Substitute day,True
Good Friday,2017-04-14,,False
Easter Monday,2017-04-17,,True
Early May bank holiday,2017-05-01,,True
Spring bank holiday,2017-05-29,,True
Summer bank holiday,2017-08-28,,True
Christmas Day,2017-12-25,,True
Boxing Day,2017-12-26,,True
New Year’s Day,2018-01-01,,True
Good Friday,2018-03-30,,False
Easter Monday,2018-04-02,,True
Early May bank holiday,2018-05-07,,True
Spring bank holiday,2018-05-28,,True
Summer bank holiday,2018-08-27,,True
Christmas Day,2018-12-25,,True
Boxing Day,2018-12-26,,True
New Year’s Day,2019-01-01,,True
Good Friday,2019-04-19,,False
Easter Monday,2019-04-22,,True
Early May bank holiday,2019-05-06,,True
Spring bank holiday,2019-05-27,,True
Summer bank holiday,2019-08-26,,True
Christmas Day,2019-12-25,,True
Boxing Day,2019-12-26,,True
New Year’s Day,2020-01-01,,True
Good Friday,2020-04-10,,False
Easter Monday,2020-04-13,,False
Early May bank holiday (VE day),2020-05-08,,True
Spring bank holiday,2020-05-25,,True
Summer bank holiday,2020-08-31,,True
Christmas Day,2020-12-25,,True
Boxing Day,2020-12-28,Substitute day,True
New Year’s Day,2021-01-01,,True
Good Friday,2021-04-02,,False
Easter Monday,2021-04-05,,True
Early May bank holiday,2021-05-03,,True
Spring bank holiday,2021-05-31,,True
Summer bank holiday,2021-08-30,,True
Christmas Day,2021-12-27,Substitute day,True
Boxing Day,2021-12-28,Substitute day,True
New Year’s Day,2022-01-03,Substitute day,True
Good Friday,2022-04-15,,False
Easter Monday,2022-04-18,,True
Early May bank holiday,2022-05-02,,True
Spring bank holiday,2022-06-02,,True
Platinum Jubilee bank holiday,2022-06-03,,True
Summer bank holiday,2022-08-29,,True
Boxing Day,2022-12-26,,True
Christmas Day,2022-12-27,Substitute day,True
